iter	RMSE
294	1449.799775
295	1449.366576
296	1449.134733
297	1448.637179
298	1448.322303
299	1447.914179
300	1447.72747
301	1447.246074
302	1446.983899
303	1446.592379
304	1446.088738
305	1445.629774
306	1445.433619
307	1444.752252
308	1444.217231
309	1443.76082
310	1443.499916
311	1443.336031
312	1443.014967
313	1442.512641
314	1442.296463
315	1441.988627
316	1441.478716
317	1441.140849
318	1440.794954
319	1440.468389
320	1440.042277
321	1439.866823
322	1439.585688
323	1439.086801
324	1438.796897
325	1438.378839
326	1438.205802
327	1437.82138
328	1437.588069
329	1436.922461
330	1436.589634
331	1436.119619
332	1435.847995
333	1435.572478
334	1435.284325
335	1435.16989
336	1434.834427
337	1434.808953
338	1434.666276
339	1434.396474
340	1434.255923
341	1434.137466
342	1433.82649
343	1433.611406
344	1433.288669
345	1433.040211
346	1432.75498
347	1432.509488
348	1432.082228
349	1431.713459
350	1431.499123
351	1431.268983
352	1431.074529
353	1430.758695
354	1430.475776
355	1430.164444
356	1429.785979
357	1429.617589
358	1429.346149
359	1428.928734
360	1428.595126
361	1428.413341
362	1428.200565
363	1427.936016
364	1427.810176
365	1427.556766
366	1427.533606
367	1427.105947
368	1426.8208
369	1426.697806
370	1426.373868
371	1426.260688
372	1426.051583
373	1425.804522
374	1425.594063
375	1425.329549
376	1425.037173
377	1424.972574
378	1424.478063
379	1424.153172
380	1423.973323
381	1423.677824
382	1423.308837
383	1422.945056
384	1422.614477
385	1422.460963
386	1422.209105
387	1421.905834
388	1421.657442
389	1421.529516
390	1421.255542
391	1421.092975
392	1420.860171
393	1420.661188
394	1420.42243
395	1420.158016
396	1419.787486
397	1419.588831
398	1419.478414
399	1419.224014
400	1418.870155
401	1418.655418
402	1418.066766
403	1417.743842
404	1417.483324
405	1417.322544
406	1416.957822
407	1416.615266
408	1416.405988
409	1415.90354
410	1415.659077
411	1415.233801
412	1414.925024
413	1414.721661
414	1414.404768
415	1414.297051
416	1413.912814
417	1413.752792
418	1413.489483
419	1413.419846
420	1413.187167
421	1413.16792
422	1413.030986
423	1412.838785
424	1412.726991
425	1412.192274
426	1411.732353
427	1411.522502
428	1411.119508
429	1410.969462
430	1410.746111
431	1410.588646
432	1410.241675
433	1410.095575
434	1409.967641
435	1409.676238
436	1409.480553
437	1409.312368
438	1408.943067
439	1408.784346
440	1408.454937
441	1408.340107
442	1407.964772
443	1407.69472
444	1407.527082
445	1407.328895
446	1407.063468
447	1406.634031
448	1406.438662
449	1406.226903
450	1406.154424
451	1405.982014
452	1405.675627
453	1405.533787
454	1405.285935
455	1404.928291
456	1404.897017
457	1404.614098
458	1404.390973
459	1404.202043
460	1404.104386
461	1403.839978
462	1403.416221
463	1403.057634
464	1402.911755
465	1402.679622
466	1402.530841
467	1402.411072
468	1402.160968
469	1401.917754
470	1401.692989
471	1401.501145
472	1401.348714
473	1401.205086
474	1400.728273
475	1400.555321
476	1400.219723
477	1399.856798
478	1399.640841
479	1399.260869
480	1398.850358
481	1398.640902
482	1398.612936
483	1398.202525
484	1398.04196
485	1397.818991
486	1397.569058
487	1397.194943
488	1396.879381
489	1396.657155
490	1396.043514
491	1395.777871
492	1395.47255
493	1395.118736
494	1394.908016
495	1394.795144
496	1394.634058
497	1394.416522
498	1394.098755
499	1393.901143
500	1393.34661
501	1392.972549
502	1392.692142
503	1392.498212
504	1392.282159
505	1392.160624
506	1391.979839
507	1391.862961
508	1391.565312
509	1391.393515
510	1391.237384
511	1390.973742
512	1390.778694
513	1390.604789
514	1390.366977
515	1390.124313
516	1389.808107
517	1389.52869
518	1389.329999
519	1389.187424
520	1389.056432
521	1388.791757
522	1388.565636
523	1388.391241
524	1388.358081
525	1388.207146
526	1387.954106
527	1387.563665
528	1387.466901
529	1387.319704
530	1387.03999
531	1386.946233
532	1386.869812
533	1386.676731
534	1386.542249
535	1386.235811
536	1386.077788
537	1385.984622
538	1385.596742
539	1385.418893
540	1385.268806
541	1385.07543
542	1384.98307
543	1384.657052
544	1384.471476
545	1384.339361
546	1384.291636
547	1384.101915
548	1384.100068
549	1383.974055
550	1383.768075
551	1383.398706
552	1383.125587
553	1382.971415
554	1382.856452
555	1382.663795
556	1382.469224
557	1382.394905
558	1382.01236
559	1381.879939
560	1381.757545
561	1381.560472
562	1381.2729
563	1381.13334
564	1380.838633
565	1380.62163
566	1380.3932
567	1380.014996
568	1379.837786
569	1379.588846
570	1379.267413
571	1379.212013
572	1379.131018
573	1378.969727
574	1378.785158
575	1378.676577
576	1378.485163
577	1378.286609
578	1378.090935
579	1378.024097
580	1377.872072
581	1377.67195
582	1377.554825
583	1377.232453
584	1377.147054
585	1376.870666
586	1376.662933
587	1376.491203
588	1376.266058
589	1376.104888
590	1375.931899
591	1375.729599
592	1375.433853
593	1375.258974
594	1375.174504
595	1375.0295
596	1374.800566
597	1374.637677
598	1374.483681
599	1374.366376
600	1374.245159
601	1374.209774
602	1373.993715
603	1373.949996
604	1373.851933
605	1373.792006
606	1373.658782
607	1373.533066
608	1373.404039
609	1373.211272
610	1373.02896
611	1372.890486
612	1372.80182
613	1372.57509
614	1372.386087
615	1372.187029
616	1372.088203
617	1372.021957
618	1371.944412
619	1371.802065
620	1371.708268
621	1371.414434
622	1371.189705
623	1371.000497
624	1370.783588
625	1370.685181
626	1370.489566
627	1370.323233
628	1370.16134
629	1369.954804
630	1369.726616
631	1369.598186
632	1369.507628
633	1369.318493
634	1369.131267
635	1368.93947
636	1368.657304
637	1368.58662
638	1368.429582
639	1368.327816
640	1368.039395
641	1367.880033
642	1367.799502
643	1367.63978
644	1367.403645
645	1367.289819
646	1367.142375
647	1366.903877
648	1366.703051
649	1366.701588
650	1366.625964
651	1366.319198
652	1366.186702
653	1366.174018
654	1366.099694
655	1365.948315
656	1365.863261
657	1365.838081
658	1365.604705
659	1365.518717
660	1365.33897
661	1365.136447
662	1364.738366
663	1364.616256
664	1364.508376
665	1364.342837
666	1364.178175
667	1363.784316
668	1363.614037
669	1363.348593
670	1363.186803
671	1363.086812
672	1362.959735
673	1362.772784
674	1362.697672
675	1362.577379
676	1362.414269
677	1362.293107
678	1362.163007
679	1361.964499
680	1361.918666
681	1361.721144
682	1361.569145
683	1361.274179
684	1361.197623
685	1361.036884
686	1360.936217
687	1360.861498
688	1360.728908
689	1360.727152
690	1360.317934
691	1360.104014
692	1359.882434
693	1359.730098
694	1359.458863
695	1359.329657
696	1358.981714
697	1358.76515
698	1358.649734
699	1358.455639
700	1358.294374
701	1358.194177
702	1358.0377
703	1357.941787
704	1357.880734
705	1357.735081
706	1357.603855
707	1357.352287
708	1357.30802
709	1357.250401
710	1357.157913
711	1357.064825
712	1356.917177
713	1356.805645
714	1356.45404
715	1356.352799
716	1356.322125
717	1356.223404
718	1356.098507
719	1356.047435
720	1356.02305
721	1355.956285
722	1355.835855
723	1355.701236
724	1355.617793
725	1355.467756
726	1355.322268
727	1355.10588
728	1354.937996
729	1354.837962
730	1354.707181
731	1354.568346
732	1354.514388
733	1354.263661
734	1354.205774
735	1354.080008
736	1353.970469
737	1353.773554
738	1353.640253
739	1353.439496
740	1353.249224
741	1353.046654
742	1352.655348
743	1352.555141
744	1352.488275
745	1352.292439
746	1352.12122
747	1351.982545
748	1351.838121
749	1351.750895
750	1351.721685
751	1351.488874
752	1351.361037
753	1351.284168
754	1351.095411
755	1350.775496
756	1350.668294
757	1350.554851
758	1350.267047
759	1350.090179
760	1349.953488
761	1349.792751
762	1349.470842
763	1349.276886
764	1349.163236
765	1349.056517
766	1348.933144
767	1348.827757
768	1348.729701
769	1348.273823
770	1348.074602
771	1347.702449
772	1347.56215
773	1347.452557
774	1347.316799
775	1347.218027
776	1347.091379
777	1346.986771
778	1346.822803
779	1346.712987
780	1346.501663
781	1346.298538
782	1346.127039
783	1345.959041
784	1345.73171
785	1345.545019
786	1345.409213
787	1345.38529
788	1345.153676
789	1345.048176
790	1344.883876
791	1344.740606
792	1344.639715
793	1344.466713
794	1344.354475
795	1344.301586
796	1344.256973
797	1343.989183
798	1343.887468
799	1343.863532
800	1343.717975
801	1343.556106
802	1343.388599
803	1343.330964
804	1343.105942
805	1343.013892
806	1342.956426
807	1342.774766
808	1342.452809
809	1342.359872
810	1342.194648
811	1342.085642
812	1341.797242
813	1341.761164
814	1341.589696
815	1341.460051
816	1341.321282
817	1341.099516
818	1340.918292
819	1340.653285
820	1340.530161
821	1340.471916
822	1340.31784
823	1340.268758
824	1340.178177
825	1339.948935
826	1339.844582
827	1339.706141
828	1339.473025
829	1339.371018
830	1339.313347
831	1339.154571
832	1339.028187
833	1338.926725
834	1338.732894
835	1338.605248
836	1338.183441
837	1338.074193
838	1337.956778
839	1337.784678
840	1337.669765
841	1337.619233
842	1337.476876
843	1337.291493
844	1337.118817
845	1336.744347
846	1336.532499
847	1336.487444
848	1336.276148
849	1336.164127
850	1336.081859
851	1336.047011
852	1335.901814
853	1335.786198
854	1335.687524
855	1335.607131
856	1335.324172
857	1335.227036
858	1335.124148
859	1335.01641
860	1334.819433
861	1334.736839
862	1334.717929
863	1334.637291
864	1334.595638
865	1334.562183
866	1334.404188
867	1334.34451
868	1334.1883
869	1333.949179
870	1333.849053
871	1333.765419
872	1333.572021
873	1333.375676
874	1333.193392
875	1333.078235
876	1332.931254
877	1332.770656
878	1332.669274
879	1332.497033
880	1332.393002
881	1332.223677
882	1332.057682
883	1331.957537
884	1331.904167
885	1331.72263
886	1331.677912
887	1331.555734
888	1331.400649
889	1331.372848
890	1331.336278
891	1331.202412
892	1331.048048
893	1330.889819
894	1330.498948
895	1330.407115
896	1330.324036
897	1330.295534
898	1330.099479
899	1329.954418
900	1329.889131
901	1329.702315
902	1329.490591
903	1329.40644
904	1329.230552
905	1329.095269
906	1328.995091
907	1328.80793
908	1328.647753
909	1328.514495
910	1328.260269
911	1328.154743
912	1328.049294
913	1327.932862
914	1327.748776
915	1327.619966
916	1327.518845
917	1327.39124
918	1327.191745
919	1327.013922
920	1326.856918
921	1326.69663
922	1326.579778
923	1326.314781
924	1326.048652
925	1325.84402
926	1325.7789
927	1325.680667
928	1325.547439
929	1325.413467
930	1325.280622
931	1325.125362
932	1324.997884
933	1324.910184
934	1324.861884
935	1324.757029
936	1324.666378
937	1324.497689
938	1324.451612
939	1324.283127
940	1324.136291
941	1323.996702
942	1323.816833
943	1323.742056
944	1323.67488
945	1323.530164
946	1323.316439
947	1323.240526
948	1323.175258
949	1323.060772
950	1322.908953
951	1322.774976
952	1322.641816
953	1322.574977
954	1322.505738
955	1322.396819
956	1322.235929
957	1322.142449
958	1322.099267
959	1321.980068
960	1321.96241
961	1321.804402
962	1321.632479
963	1321.539903
964	1321.198255
965	1321.054434
966	1320.950371
967	1320.880685
968	1320.744133
969	1320.656851
970	1320.597049
971	1320.485309
972	1320.43074
973	1320.351423
974	1320.241286
975	1320.206834
976	1320.172119
977	1320.086517
978	1319.830091
979	1319.694404
980	1319.561752
981	1319.484136
982	1319.113126
983	1319.012338
984	1318.790546
985	1318.63331
986	1318.547575
987	1318.468644
988	1318.405978
989	1318.321808
990	1318.157812
991	1318.019441
992	1317.86365
993	1317.842568
994	1317.759076
995	1317.640396
996	1317.420936
997	1317.225029
998	1317.164985
999	1317.026634
