iter	Passed	Remaining
404	8030	11797
405	8050	11778
406	8069	11756
407	8088	11736
408	8108	11716
409	8126	11694
410	8144	11671
411	8162	11649
412	8181	11629
413	8200	11607
414	8220	11587
415	8239	11566
416	8256	11543
417	8275	11522
418	8294	11501
419	8313	11480
420	8334	11461
421	8354	11443
422	8375	11424
423	8395	11405
424	8414	11384
425	8434	11364
426	8454	11344
427	8473	11324
428	8492	11303
429	8512	11284
430	8532	11264
431	8552	11244
432	8570	11222
433	8588	11200
434	8607	11180
435	8627	11159
436	8648	11141
437	8668	11122
438	8689	11103
439	8707	11082
440	8727	11062
441	8746	11041
442	8764	11019
443	8784	10999
444	8804	10980
445	8823	10959
446	8842	10939
447	8863	10920
448	8882	10900
449	8901	10880
450	8921	10860
451	8941	10840
452	8961	10820
453	8980	10800
454	9000	10780
455	9019	10759
456	9039	10740
457	9060	10721
458	9079	10701
459	9098	10681
460	9118	10661
461	9138	10641
462	9156	10619
463	9174	10598
464	9194	10578
465	9213	10557
466	9231	10535
467	9249	10514
468	9267	10492
469	9287	10472
470	9304	10450
471	9323	10429
472	9342	10409
473	9360	10387
474	9379	10367
475	9398	10346
476	9420	10328
477	9440	10309
478	9459	10289
479	9481	10271
480	9501	10251
481	9520	10231
482	9540	10212
483	9560	10192
484	9580	10172
485	9599	10153
486	9619	10132
487	9637	10111
488	9657	10091
489	9676	10071
490	9694	10050
491	9713	10029
492	9732	10008
493	9751	9987
494	9769	9967
495	9788	9946
496	9806	9924
497	9826	9905
498	9846	9885
499	9864	9864
500	9883	9844
501	9902	9823
502	9921	9802
503	9941	9783
504	9958	9761
505	9977	9740
506	9995	9719
507	10014	9698
508	10033	9678
509	10050	9656
510	10069	9635
511	10088	9615
512	10108	9596
513	10127	9575
514	10147	9556
515	10164	9534
516	10184	9515
517	10204	9494
518	10224	9475
519	10243	9455
520	10262	9434
521	10285	9418
522	10303	9397
523	10322	9376
524	10342	9357
525	10362	9337
526	10380	9317
527	10401	9297
528	10421	9278
529	10440	9258
530	10461	9239
531	10480	9219
532	10499	9199
533	10525	9185
534	10546	9166
535	10566	9147
536	10586	9127
537	10606	9107
538	10624	9087
539	10643	9066
540	10663	9047
541	10681	9026
542	10702	9007
543	10720	8986
544	10740	8966
545	10758	8945
546	10777	8925
547	10796	8904
548	10810	8880
549	10829	8860
550	10848	8839
551	10867	8819
552	10886	8799
553	10906	8780
554	10926	8760
555	10944	8740
556	10964	8720
557	10983	8699
558	11002	8679
559	11020	8658
560	11040	8639
561	11059	8619
562	11078	8599
563	11097	8578
564	11114	8557
565	11134	8537
566	11153	8517
567	11172	8497
568	11190	8476
569	11208	8455
570	11227	8435
571	11246	8414
572	11265	8395
573	11284	8374
574	11303	8355
575	11324	8336
576	11343	8316
577	11363	8296
578	11382	8276
579	11403	8257
580	11423	8238
581	11443	8219
582	11462	8198
583	11482	8179
584	11502	8159
585	11520	8139
586	11540	8119
587	11558	8098
588	11576	8078
589	11595	8057
590	11615	8038
591	11635	8018
592	11654	7999
593	11677	7981
594	11696	7961
595	11715	7941
596	11733	7920
597	11751	7900
598	11771	7880
599	11789	7859
600	11808	7839
601	11827	7819
602	11847	7799
603	11865	7779
604	11884	7759
605	11903	7739
606	11923	7720
607	11943	7700
608	11961	7679
609	11979	7659
610	11998	7639
611	12018	7619
612	12038	7600
613	12058	7580
614	12078	7561
615	12097	7541
616	12117	7521
617	12136	7501
618	12154	7481
619	12175	7462
620	12193	7442
621	12214	7423
622	12233	7403
623	12252	7382
624	12270	7362
625	12288	7341
626	12307	7321
627	12326	7301
628	12344	7281
629	12363	7261
630	12383	7241
631	12401	7221
632	12421	7201
633	12441	7182
634	12460	7162
635	12480	7142
636	12499	7122
637	12518	7102
638	12536	7082
639	12556	7062
640	12575	7043
641	12595	7023
642	12616	7004
643	12635	6985
644	12655	6965
645	12674	6945
646	12695	6926
647	12715	6907
648	12735	6887
649	12756	6868
650	12776	6849
651	12796	6830
652	12819	6812
653	12841	6793
654	12862	6774
655	12881	6754
656	12901	6735
657	12922	6716
658	12942	6696
659	12983	6688
660	13009	6671
661	13030	6653
662	13050	6633
663	13072	6614
664	13092	6595
665	13113	6576
666	13132	6556
667	13151	6536
668	13173	6517
669	13193	6498
670	13216	6480
671	13237	6460
672	13257	6441
673	13276	6421
674	13298	6403
675	13319	6383
676	13340	6364
677	13359	6344
678	13379	6325
679	13402	6307
680	13423	6287
681	13445	6269
682	13467	6250
683	13489	6231
684	13508	6212
685	13531	6193
686	13552	6174
687	13572	6154
688	13593	6136
689	13615	6117
690	13637	6098
691	13658	6079
692	13679	6060
693	13699	6040
694	13720	6021
695	13740	6001
696	13759	5981
697	13780	5962
698	13800	5942
699	13820	5923
700	13840	5903
701	13860	5883
702	13883	5865
703	13902	5845
704	13923	5826
705	13944	5806
706	13965	5787
707	13985	5767
708	14009	5749
709	14035	5732
710	14058	5714
711	14079	5695
712	14099	5675
713	14119	5655
714	14138	5635
715	14158	5615
716	14178	5596
717	14198	5576
718	14218	5556
719	14239	5537
720	14260	5518
721	14279	5498
722	14300	5478
723	14320	5459
724	14341	5439
725	14362	5420
726	14383	5401
727	14405	5382
728	14428	5363
729	14452	5345
730	14472	5325
731	14492	5305
732	14512	5286
733	14532	5266
734	14552	5246
735	14574	5227
736	14595	5208
737	14616	5188
738	14637	5169
739	14658	5150
740	14679	5130
741	14700	5111
742	14719	5091
743	14740	5072
744	14761	5052
745	14780	5032
746	14801	5013
747	14820	4993
748	14840	4973
749	14860	4953
750	14881	4933
751	14901	4914
752	14921	4894
753	14940	4874
754	14960	4854
755	14980	4834
756	15000	4815
757	15022	4795
758	15043	4776
759	15063	4756
760	15084	4737
761	15104	4717
762	15125	4698
763	15146	4678
764	15166	4659
765	15186	4639
766	15207	4619
767	15226	4599
768	15246	4579
769	15267	4560
770	15288	4540
771	15308	4521
772	15331	4502
773	15352	4482
774	15373	4463
775	15396	4444
776	15419	4425
777	15441	4406
778	15464	4387
779	15484	4367
780	15504	4347
781	15525	4328
782	15546	4308
783	15566	4288
784	15585	4268
785	15605	4248
786	15626	4229
787	15647	4209
788	15666	4189
789	15685	4169
790	15705	4149
791	15724	4129
792	15744	4109
793	15764	4089
794	15785	4070
795	15806	4050
796	15826	4030
797	15847	4011
798	15867	3991
799	15887	3971
800	15914	3953
801	15937	3934
802	15957	3914
803	15978	3895
804	15998	3875
805	16019	3855
806	16040	3836
807	16061	3816
808	16083	3797
809	16105	3777
810	16129	3758
811	16153	3739
812	16174	3720
813	16195	3700
814	16219	3681
815	16244	3662
816	16263	3642
817	16285	3623
818	16307	3603
819	16327	3583
820	16346	3563
821	16365	3543
822	16386	3524
823	16407	3504
824	16427	3484
825	16447	3464
826	16466	3444
827	16488	3425
828	16507	3404
829	16526	3384
830	16545	3364
831	16565	3344
832	16584	3324
833	16603	3304
834	16623	3284
835	16644	3265
836	16663	3245
837	16683	3225
838	16703	3205
839	16724	3185
840	16744	3165
841	16765	3145
842	16785	3126
843	16805	3106
844	16824	3086
845	16844	3066
846	16864	3046
847	16883	3026
848	16901	3006
849	16920	2985
850	16939	2965
851	16958	2945
852	16977	2925
853	16996	2905
854	17015	2885
855	17035	2865
856	17062	2847
857	17083	2827
858	17103	2807
859	17124	2787
860	17145	2767
861	17164	2747
862	17185	2728
863	17207	2708
864	17228	2688
865	17248	2668
866	17268	2649
867	17288	2629
868	17309	2609
869	17329	2589
870	17348	2569
871	17368	2549
872	17389	2529
873	17411	2510
874	17432	2490
875	17454	2470
876	17476	2451
877	17512	2433
878	17533	2413
879	17555	2393
880	17576	2374
881	17596	2354
882	17617	2334
883	17638	2314
884	17658	2294
885	17677	2274
886	17697	2254
887	17718	2234
888	17738	2214
889	17758	2194
890	17777	2174
891	17798	2155
892	17817	2134
893	17838	2115
894	17858	2095
895	17877	2075
896	17896	2055
897	17917	2035
898	17935	2014
899	17954	1994
900	17974	1975
901	17993	1954
902	18018	1935
903	18042	1916
904	18064	1896
905	18085	1876
906	18105	1856
907	18124	1836
908	18145	1816
909	18164	1796
910	18184	1776
911	18202	1756
912	18222	1736
913	18242	1716
914	18261	1696
915	18280	1676
916	18301	1656
917	18321	1636
918	18341	1616
919	18362	1596
920	18388	1577
921	18408	1557
922	18428	1537
923	18449	1517
924	18469	1497
925	18488	1477
926	18507	1457
927	18527	1437
928	18547	1417
929	18566	1397
930	18586	1377
931	18607	1357
932	18627	1337
933	18648	1317
934	18667	1297
935	18686	1277
936	18706	1257
937	18724	1237
938	18743	1217
939	18762	1197
940	18780	1177
941	18800	1157
942	18817	1137
943	18836	1117
944	18856	1097
945	18875	1077
946	18894	1057
947	18913	1037
948	18932	1017
949	18952	997
950	18970	977
951	18989	957
952	19010	937
953	19030	917
954	19048	897
955	19069	877
956	19087	857
957	19107	837
958	19127	817
959	19148	797
960	19168	777
961	19187	757
962	19207	737
963	19228	718
964	19248	698
965	19268	678
966	19288	658
967	19306	638
968	19325	618
969	19343	598
970	19362	578
971	19383	558
972	19405	538
973	19426	518
974	19447	498
975	19467	478
976	19488	458
977	19507	438
978	19526	418
979	19545	398
980	19565	378
981	19584	358
982	19603	339
983	19624	319
984	19645	299
985	19665	279
986	19685	259
987	19705	239
988	19724	219
989	19744	199
990	19763	179
991	19781	159
992	19800	139
993	19819	119
994	19838	99
995	19858	79
996	19876	59
997	19894	39
998	19913	19
999	19932	0
